Date,Open,High,Low,Close,Adj Close,Volume,macd,sig,hist,buy_price,sell_price,trigger_signal,position,holding,cash_holding,holding_value,market_value,portfolio_value,daily_return,cumulative_ret
2021-02-17,76.30,76.70,73.65,75.00,74.61,11977305,2.53,3.66,-1.13,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-18,75.05,77.50,71.95,72.45,72.07,26113206,2.07,3.34,-1.27,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-19,72.05,73.40,68.25,71.00,70.63,31655438,1.57,2.99,-1.42,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-22,72.40,76.50,72.00,72.55,72.17,30859520,1.28,2.65,-1.37,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-23,71.45,75.30,71.00,73.10,72.72,15568678,1.08,2.33,-1.25,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-24,74.60,75.50,67.90,69.60,69.24,24590141,0.64,1.99,-1.36,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-25,71.40,72.05,68.70,70.15,69.78,14737120,0.32,1.66,-1.34,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-26,66.50,68.30,62.00,62.95,62.62,48528588,-0.50,1.23,-1.73,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-03-01,65.05,69.00,64.85,68.70,68.34,19184809,-0.68,0.85,-1.53,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-03-02,70.45,72.40,65.65,67.45,67.10,20713808,-0.91,0.49,-1.41,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-03-03,68.40,72.10,66.00,72.00,71.62,16678972,-0.72,0.25,-0.97,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-03-04,69.60,69.90,60.60,61.70,61.38,40636121,-1.39,-0.08,-1.31,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-03-05,59.80,65.00,59.50,62.15,61.82,29138164,-1.86,-0.43,-1.42,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
